기준연도,종목코드,기업명,ROE,ROA,GPM,OPM,NPM,EBITDA,부채비율,유동비율,당좌비율,자기자본비율,매출액증가율,영업이익증가율,EPS증가율,BPS증가율,재고자산회전율,총자산회전율,PER,PBR,PSR,PCR,EV/EBITDA,GP/A,OCF,FCF,주가,시가총액
2025,001680,대상,-27.63,-8.71,0.0,3.85,-6.89,1692.82,217.17,113.72,113.72,31.53,3.44,-4.33,0.0,0.0,4401305371276.0,1.2651,0.0,0.0,0.1441,0.0,17.82,0.0,0.0,0.0,18310,634400000000
2025,001720,신영증권,6.13,1.08,0.0,5.52,4.55,1361.46,466.36,0.0,0.0,17.66,-10.78,-20.09,0.0,0.0,2466380710168.0,0.2376,14.22,0.0,1.0425,0.0,81.66,0.0,0.0,0.0,156400,2571200000000
2025,001740,SK네트웍스,2.47,0.99,0.0,1.28,0.74,862.93,148.85,102.79,102.79,40.18,-11.91,-24.25,0.0,0.0,6745127000000.0,1.3381,11.95,0.0,0.1954,0.0,50.21,0.0,0.0,0.0,6570,1317900000000
2025,001750,한양증권,9.72,3.09,0.0,8.28,6.22,753.11,215.17,0.0,0.0,31.73,9.09,38.31,0.0,0.0,909022352850.0,0.4957,4.77,0.0,0.3241,0.0,20.53,0.0,0.0,0.0,19500,294600000000
2025,001770,SHD,3.55,2.44,0.0,2.73,1.96,27.38,45.47,216.78,216.78,68.74,-5.82,168.01,0.0,0.0,100397778375.0,1.2457,23.91,0.0,0.1604,0.0,15.08,0.0,0.0,0.0,13220,16100000000
2025,001780,알루코,3.92,1.74,0.0,6.06,2.76,349.0,125.5,97.33,97.33,44.35,-7.59,-8.29,0.0,0.0,575658057136.0,0.6305,8.3,0.0,0.2793,0.0,19.17,0.0,0.0,0.0,1661,160800000000
2025,001790,대한제당,-12.46,-4.8,0.0,4.17,-4.45,565.56,159.38,164.34,164.34,38.55,-1.28,52.87,0.0,0.0,1356276028000.0,1.0805,0.0,0.0,0.186,0.0,18.1,0.0,0.0,0.0,2925,252300000000
2025,001800,오리온홀딩스,6.55,5.46,0.0,14.37,9.95,4877.29,19.93,279.57,279.57,83.38,6.19,-3.66,0.0,0.0,3393126199452.0,0.5487,11.5,0.0,0.4574,0.0,5.29,0.0,0.0,0.0,25800,1552000000000
2025,001810,무림SP,-0.83,-0.49,0.0,0.86,-0.81,17.78,71.28,167.24,167.24,58.38,16.29,169.95,0.0,0.0,205670598437.0,0.5982,0.0,0.0,0.1279,0.0,95.29,0.0,0.0,0.0,1189,26300000000
2025,001820,삼화콘덴서공업,4.51,3.71,0.0,4.37,4.28,128.66,21.69,400.86,400.86,82.18,-0.31,-27.89,0.0,0.0,294491998379.0,0.8655,61.25,0.0,3.978,0.0,95.76,0.0,0.0,0.0,112700,1171500000000
2025,001840,이화공영,23.78,4.22,0.0,2.86,1.85,32.9,464.23,88.56,88.56,17.72,-10.21,116.64,0.0,0.0,115190727605.0,2.2824,0.0,0.0,0.5434,0.0,31.65,0.0,0.0,0.0,2215,62600000000
2025,001890,아이파크영창,19.01,-30.58,0.0,-16.6,-16.39,-51.63,-162.16,22.58,22.58,-160.89,-24.33,-10.8,0.0,0.0,31105086538.0,1.8663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
